prompt,A,B,C,D,E,answer,category,Function
"소득세법상 공동사업장(제조업, 복식부기의무자)의 2024년 소득에 관한 자료이다. 거주자 갑의 종합소득금액으로 옳은 것은?

(1) 공동사업자별 손익분배 비율
공동사업자 갑(대표자) 갑의 배우자 갑의 동생 
손익분배비율 50% 30% 20%
* 갑과 생계를 같이 하며, 조세를 회피하기 위해 공동으로 사업을 경영한 것으로 확인됨

(2) 손익계산서 자료 일부
1 당기순이익: 500,000,000원 2 갑의 급여: 80,000,000원
3 이자수익: 50,000,000원 4 사업용건물 처분익: 10,000,000원
* 갑의 부친에 대한 대여금 이자로 적정이자는 100,000,000원임","416,000,000원","441,000,000원","449,000,000원","456,000,000원","466,000,000원",B,Income Tax Law,Calculate
"제조업을 영위하는 거주자 갑의 2024년 사업소득에 관한 자료이다. 장부를 기장하지 않아 추계조사결정할 경우 갑의 사업소득금액으로 옳은 것은?

(1) 매출액은 170,000,000원이며, 국가로부터 지급받은 사업 관련 보조금 20,000,000원과 사업용 기계장치 처분가액 10,000,000원이 매출액과 별도로 존재한다.
(2) 증명서류로 입증되는 사업 관련 지출 내역
1 원재료매입: 30,000,000원 2 건물임차료: 10,000,000원 3 종업원급여: 40,000,000원 4 보험료: 2,000,000원 5 기계장치구입: 50,000,000원
(3) 갑의 2023년 제조업 수입금액은 35,000,000원이다.
(4) 사업소득 기준경비율은 20%, 단순경비율은 60%로 가정한다.
(5) 제조업 간편장부대상자 기준금액은 150,000,000원이며 단순 경비율 대상자 기준금액은 36,000,000원이다.
(6) 기획재정부령으로 정하는 배율은 복식부기의무자는 3.4배, 간편장부대상자는 2.8배이다.","72,000,000원
","76,000,000원","80,000,000원","82,000,000원","100,000,000원",A,Income Tax Law,Calculate
"소득세법상 납세의무에 관한 설명이다. 옳지 않은 것은?
","미국 국적 야구선수 A는 한국의 프로야구팀과 연봉 계약을 하고, 2024년 3월 3일 생애 최초로 한국에 입국하였다. A가 프로야구 시즌이 끝난 2024년 10월 1일 출국한 경우 A의 2024년 국외원천 소득은 국내에서 지급되거나 국내로 송금된 것에 대해서만 과세된다.",한국국적갑은국내에주소가있는유명가수이다.갑이월드 투어 콘서트 차 2024년 6월 19일 출국하여 2024년 12월 29일 입국한 경우 갑은 2024년의 국내ᆞ외 원천소득에 대해서 소득세 납세 의무를 진다.,"한국국적을은외교부소속공무원이다.을이일본에있는한국 영사관에서 근무하며 2024년 1월 1일부터 2024년 12월 31일까지 일본에 거소를 둔 경우 을은 2024년의 국내, 국외 원천소득에 대해서 소득세 납세의무를 진다.",한국국적병은2024년5월7일미국소재IT회사에근무하기 위하여 가족과 함께 같은 날 출국하고 거소를 국외로 이전하였다. 병은 2024년 5월 7일부터 국내원천소득에 대해서만 소득세 납세 의무를 진다.,프랑스 국적 B는 교량 설계용역을 제공하기 위하여 2024년 4월 4일 한국에 입국하여 2024년 9월 19일 출국하였다. B는 2024년의 국내원천소득에 대해서만 소득세 납세의무를 진다.,D,Income Tax Law,Theory
소득세법상 원천징수에 관한 설명이다. 옳지 않은 것은?,반기별 납부 승인대상자가 「법인세법에 의하여 처분된 상여에 대한 원친징수세액을 납부할 경우 그 납부기한은 징수일이 속하는 달의 다음달 10일이다.,"법인이 잉여금의 처분에 따라 12월 15일 상여로 처분결정하고 처분결정일부터 3개월이 되는 날까지 지급하지 아니한 경우, 그 3개월이 되는 날에 상여를 지급한 것으로 보아 소득세를 원천 징수한다.","7월 15일 퇴직한 직원의 퇴직소득을 해당 과세기간의 12월 31일까지 지급하지 않은 경우, 해당 과세기간의 12월 31일에 지급한 것으로 보아 소득세를 원천징수한다.",소득세법령으로 정하는 봉사료는 수입금액의 5%를 원천징수한다.,"기타소득에 해당하는 소기업.소상공인 공제부금의 해지일시금은 소득금액의 15%를 원천징수한다.
",B,Income Tax Law,Theory
"거주자 갑(56세)의 연금계좌에 관한 자료이다. 2024년 종합과세되는 총연금액으로 옳은 것은? 단, 갑이 종합과세와 분리과세 중 선택할 수 있는 경우에는 종합과세를 선택하는 것으로 가정한다.

(1) 연금계좌 가입일: 2012년 1월 15일
(2) 연금수령 개시일: 2023년 1월 1일
(3) 2024년 연금계좌에서 수령한 금액: 45,000,000원
(4) 2024년 1월 1일 현재 연금계좌 평가액: 100,000,000원
1 연금계좌납입액 합계: 60,000,000원(소득공제 또는 세액공제를 받지 못한 금액 3,000,000원 포함)
2 이연퇴직소득: 10,000,000원
3 연금계좌 운용수익: 30,000,000원","14,000,000원","15,000,000원","16,000,000원","17,000,000원","18,000,000원",D,Income Tax Law,Calculate
"(주)A에 근무하는 거주자 갑의 2024년 소득에 관한 자료이다. 종합 과세되는 기타소득금액으로 옳은 것은? 단, 갑의 기타소득금액을 제외한 종합소득 한계세율은 24%이며, 세부담을 최소화하고자 한다.

(1) 주택입주 지체상금 3,000,000원
(2) 복권당첨금 2,500,000원
(3) 고용관계 없이 일시적인 강연을 하고 받은 외부강연료 100,000원
(4) 계약금이 위약금으로 대체된 위약금 1,000,000원
(5) 배임수재로 받은 금품 4,000,000원","4,000,000원","4,600,000원","4,640,000원","5,000,000원","5,600,000원",A,Income Tax Law,Calculate
"부가가치세법상 납세지와 사업자등록에 관한 설명이다. 옳은 것은?
",방문판매 등에 관한 법률에 따른 다단계판매원이 상시 주재하여 거래의 전부 또는 일부를 하는 별도의 장소가 있는 경우에는 그 장소를 사업장으로 한다.,건설업을 영위하는 법인은 건설 대상 부동산의 등기부상 소재지를 사업장으로 한다.,둘 이상의 사업장이 있는 사업자가 사업자 단위로 사업자등록을 신청한 경우에는 사업장 단위로 부가가치세를 신고하고 사업자 단위로 부가가치세를 납부할 수 있다.,"사업자등록을 신청하기 전의 매입세액은 매출세액에서 공제하지 않는다. 다만, 공급시기가 속하는 과세기간의 신고기간 내에 등록을 신청한 경우 등록신청일부터 공급시기가 속하는 과세기간 기산일까지 역산한 기간 내의 것은 제외한다.","신규로 사업을 시작하려는 자는 사업개시일 이전이라도 사업자 등록을 신청할 수 있다. 다만, 해당 법인의 설립등기 전 또는 사업의 허가, 등록이나 신고 전에는 사업자등록을 신청할 수 없다.",A,Added Tax Law,Thoery
"부가가치세법상 영세율에 관한 설명이다. 옳지 않은 것은?
",외국을 항행하는 선박 및 항공기에 부가가치세를 별도로 적은 세금계산서를 발급하지 않고 공급하는 재화는 영세율을 적용한다.,국내에서 국내사업장이 없는 비거주자가 지정하는 국내 과세 사업자에게 인도되고 해당 사업자의 과세사업에 사용되는 재화로서 그 대금을 해당 비거주자에게 지급할 금액에서 빼는 방법으로 결제하는 경우 영세율을 적용한다.,기획재정부령으로 정하는 구매확인서에 의하여 금지금이 아닌 재화를 공급하는 경우에는 영세율을 적용한다.,사업자가 원료를 대가 없이 국외의 수탁가공 사업자에게 반출하여 가공한 재화를 양도하는 경우 그 원료의 반출은 영세율을 적용한다.,수출업자(A)에게 내국신용장으로 재화를 공급하는 사업자(B)와 직접 도급계약에 의하여 수출재화임가공용역을 제공하는 사업자(C)의 수출재화임가공용역은 영세율을 적용한다.,E,Added Tax Law,Thoery
부가가치세법상 공급시기에 관한 설명이다. 옳지 않은 것은?,반환조건부 판매의 경우 그 조건이 성취되거나 기한이 지나 판매가 확정되는 때를 공급시기로 본다.,완성도기준지급조건부로 재화를 공급하는 경우에 재화가 인도 되거나 이용가능하게 되는 날 이후에 받기로 한 대가의 부분에 대해서는 재화가 인도되거나 이용가능하게 되는 날을 공급시기로 본다.,공급단위를 구획할 수 없는 재화를 계속적으로 공급하는 경우에는 대가의 각 부분을 받기로 한 때를 재화의 공급시기로 본다.,사업자가 보세구역 안에서 보세구역 밖의 국내에 재화를 공급하는 경우가 재화의 수입에 해당할 때에는 수입신고 수리일을 재화의 공급시기로 본다.,재화의 공급으로 보는 가공의 경우 가공이 완료되었을 때를 공급시기로 본다.,E,Added Tax Law,Thoery
"어묵을 제조하는 일반과세자인 개인사업자 갑의 2024년 제1기 과세 기간(2024.1.1.∼2024.6.30.)에 관한 거래내역이다. 2024년 제1기 확정 신고시 공제가능한 매입세액으로 옳은 것은? 단, 특별한 언급이 없는 한 제시된 금액은 부가가치세가 포함되지 아니한 금액이며, 적격증명서류를 발급 및 수취하였다.

(1) 미가공된 냉동명태를 130,000,000원에 매입하여 어묵 제조에 전부 사용하였다.
(2) 어묵 배달에 사용하기 위하여 업무용승용차(개별소비세 과세 대상)를 30,000,000원에 매입하였다.
(3) 2024년 1월 7일 어묵포장 용기를 700,000원에 구입하였으나 당해 거래의 세금계산서를 2024년 6월 5일 발급받았다.
(4) 생산직 직원들의 작업복으로 사용할 목적으로 의류를 일반 과세자로부터 330,000원(공급대가)에 구입하고 부가가치세가 별도로 구분되는 신용카드매출전표를 수령하였다.
(5) 거래처에 판매촉진 목적으로 물품을 500,000원에 구입하여 제공하였다.
(6) 공장건물의 임대인에게 4월부터 6월까지의 임차료 총액 4,000,000원을 지급하였다.
(7) 의제매입세액 공제율은 4/104이며, 공제한도는 고려하지 않는다.","3,430,000원","3,500,000원","5,430,000원","5,480,000원","5,500,000원",E,Added Tax Law,Calculate
지방세법상 취득세의 과세대상과 납세의무자에 관한 설명이다. 옳지 않은 것은?,"취득세는 부동산, 차량, 기계장비, 항공기, 선박, 입목, 광업권, 어업권, 양식업권, 골프회원권, 승마회원권, 콘도미니엄 회원권, 종합체육시설 이용회원권 또는 요트회원권을 취득한 자에게 부과한다.","선박, 차량과 기계장비의 종류를 변경하거나 토지의 지목을 사실상 변경함으로써 그 가액이 증가한 경우에는 취득으로 본다.","부동산의 취득은 관계 법령에 따른 등기, 등록 등을 하지 아니한 경우라도 사실상 취득하면 각각 취득한 것으로 보고 해당 취득 물건의 소유자 또는 양수인을 각각 취득자로 한다.",법인설립 시에 발행하는 주식 또는 지분을 취득함으로써 과점 주주가된경우그과점주주가해당법인의부동산을취득한것 으로 본다.,"차량을 운수업체의 명의로 등록(영업용)하는 경우라도 해당 차량의 구매계약서, 세금계산서, 차주대장 등에 비추어 차량의 취득대금을 지급한 자가 따로 있음이 입증되는 경우 그 차량은 취득대금을 지급한 자가 취득한 것으로 본다.",D,ETC,Theory
